dish,top_group,group,me_class,verdict,units_standalone,units_inset_line,set_phantom_units,effective_units,n_sets,sets_structural,sets_behavioral,revenue_standalone,margin_standalone_est,margin_pct,recent3_units,months_active,orders,verdict_reason
Мидии том ям,Роллы,Запеченные,Собака,Под наблюдением,20,0,53,73,1,1,0,6315,4304,68.2,14,6,20,"розница слабая (20 шт), сет-роль малая (+53)"
От шефа,Пицца,Пицца,Загадка,Оставить,72,0,0,72,0,0,0,52638,36041,68.5,32,7,67,нормальная проходимость в рознице
Акита,Роллы,Фирменные роллы,Собака,Под наблюдением,19,0,53,72,1,1,0,3827,2817,73.6,11,6,19,"розница слабая (19 шт), сет-роль малая (+53)"
Фурай,Роллы,Фирменные роллы,Собака,Оставить,71,0,0,71,0,0,0,22177,15739,71.0,34,7,71,нормальная проходимость в рознице
Бархат,Роллы,Запеченные,Собака,Оставить,69,0,0,69,0,0,0,25027,17367,69.4,32,7,66,нормальная проходимость в рознице
Дьяволица,Пицца,Пицца,Загадка,Оставить,68,0,0,68,0,0,0,38963,26885,69.0,37,7,59,нормальная проходимость в рознице
Кабуки,Роллы,Запеченные,Собака,Оставить,61,0,0,61,0,0,0,19423,11952,61.5,32,7,61,нормальная проходимость в рознице
Мидии Яки,Роллы,Запеченные,Собака,Оставить,59,0,0,59,0,0,0,18018,12881,71.5,31,6,58,нормальная проходимость в рознице
Тайская креветка,Роллы,Фирменные роллы,Собака,Оставить,55,0,0,55,0,0,0,16734,12126,72.5,25,7,55,нормальная проходимость в рознице
Бургер Чиз,Пицца,Пицца,Загадка,Оставить,51,0,0,51,0,0,0,36540,25650,70.2,24,7,50,нормальная проходимость в рознице
Чили Пеппер,Пицца,Пицца,Собака,Оставить,50,0,0,50,0,0,0,31009,20824,67.2,18,6,50,нормальная проходимость в рознице
Яритэ,Роллы,Запеченные,Собака,Оставить,47,0,0,47,0,0,0,12189,5550,45.5,29,7,47,нормальная проходимость в рознице
Фукуока,Роллы,Запеченные,Собака,Оставить,46,0,0,46,0,0,0,20782,14942,71.9,18,7,45,нормальная проходимость в рознице
Фарерский,Роллы,Фирменные роллы,Собака,Оставить,43,0,0,43,0,0,0,14681,9826,66.9,20,7,43,нормальная проходимость в рознице
Пикантная креветка,Роллы,Фирменные роллы,Собака,Оставить,39,0,0,39,0,0,0,14224,9242,65.0,24,7,38,нормальная проходимость в рознице
Прайм эсколар,Роллы,Запеченные,Собака,Оставить,37,0,0,37,0,0,0,10536,7086,67.3,18,6,36,нормальная проходимость в рознице
Тайланд,Пицца,Пицца,Собака,Оставить,36,0,0,36,0,0,0,31904,23397,73.3,15,6,36,нормальная проходимость в рознице
Банан апельсин,Роллы,сладкие роллы,Собака,Оставить,35,0,0,35,0,0,0,12938,9604,74.2,12,6,34,нормальная проходимость в рознице
Мидии лосось,Роллы,Запеченные,Собака,Оставить,30,0,0,30,0,0,0,10798,7249,67.1,18,6,29,нормальная проходимость в рознице
Креветка манго,Роллы,Фирменные роллы,Собака,Оставить,29,0,0,29,0,0,0,12171,8392,69.0,16,6,29,нормальная проходимость в рознице
Калифорния с угрём,Роллы,Калифорния,Собака,Под наблюдением,25,0,0,25,0,0,0,9512,5991,63.0,15,7,24,"розница слабая (25 шт), сет-роль малая (+0)"
Айдахо,Роллы,Фирменные роллы,Собака,Под наблюдением,21,0,0,21,0,0,0,9629,6558,68.1,10,7,21,"розница слабая (21 шт), сет-роль малая (+0)"
Фукусима,Роллы,Запеченные,Собака,Под наблюдением,21,0,0,21,0,0,0,10162,7528,74.1,12,7,21,"розница слабая (21 шт), сет-роль малая (+0)"
Лава угорь,Роллы,Фирменные роллы,Собака,Под наблюдением,20,0,0,20,0,0,0,8885,6850,77.1,11,6,19,"розница слабая (20 шт), сет-роль малая (+0)"
Классический с угрем,Роллы,Классические,Собака,Под наблюдением,20,0,0,20,0,0,0,4386,2320,52.9,10,5,20,"розница слабая (20 шт), сет-роль малая (+0)"
Бонито,Роллы,Фирменные роллы,Собака,Под наблюдением,20,0,0,20,0,0,0,7298,5329,73.0,8,6,20,"розница слабая (20 шт), сет-роль малая (+0)"
Огненный жемчуг,Роллы,Фирменные роллы,Собака,Под наблюдением,18,0,0,18,0,0,0,7774,5531,71.1,8,5,18,"розница слабая (18 шт), сет-роль малая (+0)"
Фудзивара,Роллы,Фирменные роллы,Собака,Под наблюдением,18,0,0,18,0,0,0,9175,4735,51.6,6,5,18,"розница слабая (18 шт), сет-роль малая (+0)"
Салями,Пицца,Пицца,Собака,Под наблюдением,17,0,0,17,0,0,0,10189,7135,70.0,6,6,17,"розница слабая (17 шт), сет-роль малая (+0)"
Уратама,Роллы,Запеченные,Собака,Под наблюдением,16,0,0,16,0,0,0,5423,3739,68.9,11,5,16,"розница слабая (16 шт), сет-роль малая (+0)"
Широкий с угрем,Роллы,Запеченные,Собака,Кандидат на удаление,8,0,0,8,0,0,0,3037,2074,68.3,6,3,8,"розница 8 шт (<0.5/нед), проникновение в сеты незначимо (+0)"
Салмон,Роллы,Фирменные роллы,Собака,Кандидат на удаление,7,0,0,7,0,0,0,2544,1887,74.2,3,4,7,"розница 7 шт (<0.5/нед), проникновение в сеты незначимо (+0)"
Невада,Роллы,Фирменные роллы,Собака,Кандидат на удаление,6,0,0,6,0,0,0,3670,2219,60.4,1,3,6,"розница 6 шт (<0.5/нед), проникновение в сеты незначимо (+0)"
Жульен,Пицца,Пицца,Собака,Кандидат на удаление,1,0,0,1,0,0,0,0,0,,1,1,1,"розница 1 шт (<0.5/нед), проникновение в сеты незначимо (+0)"
